ENSG00000000003 ENST00000373020
ENSG00000101695 ENST00000217740
ENSG00000101745 ENST00000262126
ENSG00000101746 ENST00000261592
ENSG00000101751 ENST00000579534
ENSG00000101752 ENST00000261537
ENSG00000101773 ENST00000399722
ENSG00000101782 ENST00000339486
ENSG00000101811 ENST00000415585
ENSG00000101842 ENST00000415430
ENSG00000101844 ENST00000372232
ENSG00000101846 ENST00000217961
ENSG00000101849 ENST00000217964
ENSG00000101850 ENST00000467482
ENSG00000101856 ENST00000217971
ENSG00000101868 ENST00000379059
ENSG00000101871 ENST00000317552
ENSG00000101882 ENST00000371410
ENSG00000101883 ENST00000217999
ENSG00000101888 ENST00000218004
ENSG00000101890 ENST00000218006
ENSG00000101892 ENST00000218008
ENSG00000101901 ENST00000394780
ENSG00000101911 ENST00000398491
ENSG00000101916 ENST00000311912
ENSG00000101928 ENST00000370783
ENSG00000101935 ENST00000262844
ENSG00000101938 ENST00000372042
ENSG00000101940 ENST00000376729
ENSG00000101945 ENST00000337852
ENSG00000101951 ENST00000218068
ENSG00000101955 ENST00000378533
ENSG00000101958 ENST00000218075
ENSG00000101966 ENST00000371199
ENSG00000101972 ENST00000218089
ENSG00000101974 ENST00000327569
ENSG00000101977 ENST00000519895
ENSG00000101981 ENST00000218099
ENSG00000101997 ENST00000376227
ENSG00000102001 ENST00000376265
ENSG00000102003 ENST00000263233
ENSG00000102007 ENST00000376327
ENSG00000102010 ENST00000357607
ENSG00000102021 ENST00000371920
ENSG00000102024 ENST00000355899
ENSG00000102030 ENST00000464845
ENSG00000102032 ENST00000393700
ENSG00000102034 ENST00000308167
ENSG00000102038 ENST00000371121
ENSG00000102043 ENST00000374852
ENSG00000102048 ENST00000380488
ENSG00000102053 ENST00000338957
ENSG00000102054 ENST00000380084
ENSG00000102055 ENST00000378131
ENSG00000102057 ENST00000218176
ENSG00000102078 ENST00000612248
ENSG00000102081 ENST00000370475
ENSG00000102096 ENST00000376509
ENSG00000102098 ENST00000251900
ENSG00000102100 ENST00000452555
ENSG00000102103 ENST00000218224
ENSG00000102104 ENST00000379984
ENSG00000102109 ENST00000218230
ENSG00000102119 ENST00000369842
ENSG00000102125 ENST00000601016
ENSG00000102144 ENST00000373316
ENSG00000102145 ENST00000376670
ENSG00000102158 ENST00000358075
ENSG00000102172 ENST00000404933
ENSG00000102174 ENST00000379374
ENSG00000102178 ENST00000369660
ENSG00000102181 ENST00000613030
ENSG00000102189 ENST00000322349
ENSG00000102195 ENST00000218316
ENSG00000102218 ENST00000218340
ENSG00000102221 ENST00000614628
ENSG00000102225 ENST00000276052
ENSG00000102226 ENST00000218348
ENSG00000102230 ENST00000379144
ENSG00000102239 ENST00000370648
ENSG00000102241 ENST00000535601
ENSG00000102243 ENST00000370634
ENSG00000102245 ENST00000370629
ENSG00000102265 ENST00000218388
ENSG00000102271 ENST00000373114
ENSG00000102287 ENST00000370328
ENSG00000102302 ENST00000375135
ENSG00000102309 ENST00000373669
ENSG00000102312 ENST00000326194
ENSG00000102316 ENST00000375068
ENSG00000102317 ENST00000376759
ENSG00000102349 ENST00000468660
ENSG00000102359 ENST00000373004
ENSG00000102362 ENST00000372989
ENSG00000102383 ENST00000373367
ENSG00000102384 ENST00000372927
ENSG00000102385 ENST00000395209
ENSG00000102387 ENST00000372907
ENSG00000102390 ENST00000373358
ENSG00000102393 ENST00000218516
ENSG00000102401 ENST00000341189
ENSG00000102409 ENST00000372695
ENSG00000102445 ENST00000429979
ENSG00000102452 ENST00000251127
ENSG00000102466 ENST00000376131
ENSG00000102468 ENST00000542664
ENSG00000102471 ENST00000612570
ENSG00000102524 ENST00000375887
ENSG00000102531 ENST00000541916
ENSG00000102539 ENST00000218721
ENSG00000102543 ENST00000251108
ENSG00000102547 ENST00000610540
ENSG00000102554 ENST00000377687
ENSG00000102572 ENST00000376547
ENSG00000102575 ENST00000592828
ENSG00000102580 ENST00000602402
ENSG00000102595 ENST00000376747
ENSG00000102606 ENST00000375741
ENSG00000102678 ENST00000382353
ENSG00000102683 ENST00000218867
ENSG00000102710 ENST00000475892
ENSG00000102753 ENST00000261667
ENSG00000102755 ENST00000282397
ENSG00000102760 ENST00000379359
ENSG00000102763 ENST00000379310
ENSG00000102780 ENST00000337343
ENSG00000102781 ENST00000380615
ENSG00000102786 ENST00000311234
ENSG00000102794 ENST00000377462
ENSG00000102796 ENST00000444610
ENSG00000102802 ENST00000380482
ENSG00000102804 ENST00000458659
ENSG00000102805 ENST00000636183
ENSG00000102837 ENST00000219022
ENSG00000102854 ENST00000382862
ENSG00000102858 ENST00000262370
ENSG00000102870 ENST00000262525
ENSG00000102871 ENST00000345057
ENSG00000102878 ENST00000521374
ENSG00000102882 ENST00000263025
ENSG00000102886 ENST00000406256
ENSG00000102890 ENST00000393997
ENSG00000102891 ENST00000219162
ENSG00000102893 ENST00000323584
ENSG00000102897 ENST00000396052
ENSG00000102898 ENST00000219169
ENSG00000102900 ENST00000308159
ENSG00000102901 ENST00000562787
ENSG00000102904 ENST00000561639
ENSG00000102908 ENST00000627621
ENSG00000102910 ENST00000285737
ENSG00000102921 ENST00000262384
ENSG00000102924 ENST00000219197
ENSG00000102931 ENST00000219204
ENSG00000102934 ENST00000219207
ENSG00000102935 ENST00000561648
ENSG00000102962 ENST00000219235
ENSG00000102967 ENST00000219240
ENSG00000102970 ENST00000219244
ENSG00000102974 ENST00000264010
ENSG00000102977 ENST00000620338
ENSG00000102978 ENST00000219252
ENSG00000102981 ENST00000219255
ENSG00000102984 ENST00000425432
ENSG00000102996 ENST00000219271
ENSG00000103005 ENST00000219281
ENSG00000103018 ENST00000307892
ENSG00000103021 ENST00000219299
ENSG00000103023 ENST00000219301
ENSG00000103024 ENST00000219302
ENSG00000103034 ENST00000394282
ENSG00000103035 ENST00000219313
ENSG00000103037 ENST00000219315
ENSG00000103042 ENST00000570101
ENSG00000103043 ENST00000261776
ENSG00000103044 ENST00000306560
ENSG00000103047 ENST00000261778
ENSG00000103051 ENST00000323786
ENSG00000103056 ENST00000219334
ENSG00000103061 ENST00000263997
ENSG00000103064 ENST00000566454
ENSG00000103066 ENST00000219345
ENSG00000103067 ENST00000473183
ENSG00000103089 ENST00000219368
ENSG00000103091 ENST00000262144
ENSG00000103111 ENST00000248248
ENSG00000103121 ENST00000219400
ENSG00000103126 ENST00000262320
ENSG00000103145 ENST00000248089
ENSG00000103148 ENST00000620134
ENSG00000103150 ENST00000262430
ENSG00000103152 ENST00000219431
ENSG00000103154 ENST00000305202
ENSG00000103160 ENST00000219439
ENSG00000103168 ENST00000567759
ENSG00000103174 ENST00000312251
ENSG00000103175 ENST00000219454
ENSG00000103184 ENST00000251170
ENSG00000103187 ENST00000262428
ENSG00000103194 ENST00000570191
ENSG00000103196 ENST00000262424
ENSG00000103197 ENST00000219476
ENSG00000103199 ENST00000219478
ENSG00000103202 ENST00000219479
ENSG00000103222 ENST00000399410
ENSG00000103227 ENST00000262301
ENSG00000103241 ENST00000262426
ENSG00000103245 ENST00000251588
ENSG00000103248 ENST00000360900
ENSG00000103249 ENST00000382745
ENSG00000103253 ENST00000389703
ENSG00000103254 ENST00000569529
ENSG00000103260 ENST00000568223
ENSG00000103264 ENST00000311635
ENSG00000103266 ENST00000219548
ENSG00000103269 ENST00000352681
ENSG00000103274 ENST00000283027
ENSG00000103275 ENST00000355803
ENSG00000103310 ENST00000574002
ENSG00000103313 ENST00000219596
ENSG00000103316 ENST00000219599
ENSG00000103319 ENST00000263026
ENSG00000103326 ENST00000219611
ENSG00000103335 ENST00000301015
ENSG00000103342 ENST00000434724
ENSG00000103343 ENST00000268655
ENSG00000103351 ENST00000576634
ENSG00000103353 ENST00000395878
ENSG00000103355 ENST00000293851
ENSG00000103356 ENST00000563232
ENSG00000103363 ENST00000262306
ENSG00000103365 ENST00000309859
ENSG00000103375 ENST00000219660
ENSG00000103381 ENST00000381774
ENSG00000103404 ENST00000219689
ENSG00000103415 ENST00000613539
ENSG00000103423 ENST00000262375
ENSG00000103426 ENST00000572467
ENSG00000103429 ENST00000261658
ENSG00000103460 ENST00000219746
ENSG00000103479 ENST00000262133
ENSG00000103485 ENST00000395384
ENSG00000103489 ENST00000261381
ENSG00000103490 ENST00000247470
ENSG00000103494 ENST00000379925
ENSG00000103495 ENST00000219782
ENSG00000103496 ENST00000313843
ENSG00000103502 ENST00000219789
ENSG00000103507 ENST00000394951
ENSG00000103510 ENST00000448516
ENSG00000103522 ENST00000337929
ENSG00000103528 ENST00000355377
ENSG00000103534 ENST00000396229
ENSG00000103540 ENST00000381396
ENSG00000103544 ENST00000251143
ENSG00000103546 ENST00000219833
ENSG00000103549 ENST00000324685
ENSG00000103550 ENST00000219837
ENSG00000103569 ENST00000219919
ENSG00000103591 ENST00000261880
ENSG00000103599 ENST00000335894
ENSG00000103642 ENST00000261893
ENSG00000103647 ENST00000566799
ENSG00000103653 ENST00000220003
ENSG00000103657 ENST00000443617
ENSG00000103671 ENST00000261884
ENSG00000103707 ENST00000220058
ENSG00000103710 ENST00000220062
ENSG00000103723 ENST00000535359
ENSG00000103740 ENST00000258873
ENSG00000103742 ENST00000352385
ENSG00000103769 ENST00000261890
ENSG00000103811 ENST00000220166
ENSG00000103852 ENST00000394132
ENSG00000103855 ENST00000318443
ENSG00000103876 ENST00000407106
ENSG00000103888 ENST00000394685
ENSG00000103932 ENST00000304330
ENSG00000103942 ENST00000304231
ENSG00000103966 ENST00000220325
ENSG00000103978 ENST00000389834
ENSG00000103994 ENST00000263805
ENSG00000103995 ENST00000380950
ENSG00000104043 ENST00000284509
ENSG00000104044 ENST00000354638
ENSG00000104055 ENST00000220420
ENSG00000104059 ENST00000261275
ENSG00000104064 ENST00000220429
ENSG00000104067 ENST00000346128
ENSG00000104081 ENST00000354670
ENSG00000104093 ENST00000543779
ENSG00000104112 ENST00000220478
ENSG00000104129 ENST00000220496
ENSG00000104131 ENST00000261868
ENSG00000104133 ENST00000261866
ENSG00000104140 ENST00000220507
ENSG00000104142 ENST00000220509
ENSG00000104147 ENST00000220514
ENSG00000104154 ENST00000261867
ENSG00000104164 ENST00000220531
ENSG00000104177 ENST00000324324
ENSG00000104205 ENST00000396596
ENSG00000104213 ENST00000541323
ENSG00000104218 ENST00000262210
ENSG00000104219 ENST00000262096
ENSG00000104221 ENST00000220659
ENSG00000104228 ENST00000305364
ENSG00000104231 ENST00000220669
ENSG00000104237 ENST00000220676
ENSG00000104267 ENST00000285379
ENSG00000104290 ENST00000537916
ENSG00000104299 ENST00000521022
ENSG00000104312 ENST00000220751
ENSG00000104313 ENST00000340726
ENSG00000104320 ENST00000265433
ENSG00000104321 ENST00000262209
ENSG00000104324 ENST00000220763
ENSG00000104325 ENST00000220764
ENSG00000104327 ENST00000265431
ENSG00000104331 ENST00000262644
ENSG00000104332 ENST00000220772
ENSG00000104341 ENST00000445593
ENSG00000104343 ENST00000419880
ENSG00000104356 ENST00000401707
ENSG00000104361 ENST00000341166
ENSG00000104365 ENST00000520810
ENSG00000104368 ENST00000220809
ENSG00000104369 ENST00000342232
ENSG00000104371 ENST00000220812
ENSG00000104375 ENST00000523601
ENSG00000104381 ENST00000220822
ENSG00000104388 ENST00000262646
ENSG00000104408 ENST00000220849
ENSG00000104412 ENST00000220853
ENSG00000104413 ENST00000433389
ENSG00000104415 ENST00000250160
ENSG00000104419 ENST00000414097
ENSG00000104427 ENST00000263849
ENSG00000104432 ENST00000263851
ENSG00000104435 ENST00000518111
ENSG00000104442 ENST00000276569
ENSG00000104447 ENST00000395715
ENSG00000104450 ENST00000388798
ENSG00000104472 ENST00000220913
ENSG00000104490 ENST00000395923
ENSG00000104497 ENST00000396330
ENSG00000104499 ENST00000220940
ENSG00000104517 ENST00000520539
ENSG00000104518 ENST00000526406
ENSG00000104522 ENST00000425753
ENSG00000104524 ENST00000220966
ENSG00000104529 ENST00000423316
ENSG00000104537 ENST00000262219
ENSG00000104549 ENST00000265896
ENSG00000104611 ENST00000265807
ENSG00000104613 ENST00000397977
ENSG00000104626 ENST00000523898
ENSG00000104635 ENST00000359741
ENSG00000104643 ENST00000221086
ENSG00000104660 ENST00000523116
ENSG00000104671 ENST00000221114
ENSG00000104679 ENST00000265806
ENSG00000104687 ENST00000221130
ENSG00000104689 ENST00000221132
ENSG00000104691 ENST00000265616
ENSG00000104695 ENST00000221138
ENSG00000104714 ENST00000262109
ENSG00000104723 ENST00000503731
ENSG00000104728 ENST00000518288
ENSG00000104731 ENST00000270583
ENSG00000104738 ENST00000262105
ENSG00000104755 ENST00000265708
ENSG00000104756 ENST00000221200
ENSG00000104760 ENST00000398056
ENSG00000104763 ENST00000381733
ENSG00000104765 ENST00000380629
ENSG00000104774 ENST00000456935
ENSG00000104783 ENST00000262888
ENSG00000104804 ENST00000221399
ENSG00000104805 ENST00000405315
ENSG00000104808 ENST00000221403
ENSG00000104812 ENST00000323798
ENSG00000104814 ENST00000591517
ENSG00000104823 ENST00000221418
ENSG00000104824 ENST00000221419
ENSG00000104825 ENST00000313582
ENSG00000104835 ENST00000600042
ENSG00000104848 ENST00000221444
ENSG00000104852 ENST00000598441
ENSG00000104853 ENST00000337392
ENSG00000104856 ENST00000221452
ENSG00000104859 ENST00000221455
ENSG00000104863 ENST00000221459
ENSG00000104866 ENST00000221462
ENSG00000104870 ENST00000221466
ENSG00000104872 ENST00000262265
ENSG00000104879 ENST00000221476
ENSG00000104880 ENST00000359920
ENSG00000104881 ENST00000418234
ENSG00000104883 ENST00000221480
ENSG00000104884 ENST00000391945
ENSG00000104885 ENST00000398665
ENSG00000104886 ENST00000587394
ENSG00000104888 ENST00000221485
ENSG00000104889 ENST00000221486
ENSG00000104892 ENST00000391946
ENSG00000104894 ENST00000323906
ENSG00000104897 ENST00000221494
ENSG00000104899 ENST00000221496
ENSG00000104901 ENST00000221498
ENSG00000104903 ENST00000264824
ENSG00000104904 ENST00000602676
ENSG00000104907 ENST00000592062
ENSG00000104915 ENST00000587230
ENSG00000104918 ENST00000221515
ENSG00000104921 ENST00000346664
ENSG00000104936 ENST00000343373
ENSG00000104938 ENST00000327325
ENSG00000104941 ENST00000221538
ENSG00000104946 ENST00000221543
ENSG00000104951 ENST00000595948
ENSG00000104953 ENST00000246112
ENSG00000104957 ENST00000586600
ENSG00000104960 ENST00000391842
ENSG00000104964 ENST00000221561
ENSG00000104967 ENST00000263257
ENSG00000104969 ENST00000221566
ENSG00000104970 ENST00000221567
ENSG00000104973 ENST00000312865
ENSG00000104976 ENST00000221573
ENSG00000104979 ENST00000588234
ENSG00000104980 ENST00000270538
ENSG00000104983 ENST00000595358
ENSG00000104998 ENST00000263379
ENSG00000105011 ENST00000263382
ENSG00000105048 ENST00000588981
ENSG00000105053 ENST00000599538
ENSG00000105058 ENST00000263384
ENSG00000105063 ENST00000412770
ENSG00000105072 ENST00000221671
ENSG00000105085 ENST00000263390
ENSG00000105088 ENST00000264833
ENSG00000105122 ENST00000343625
ENSG00000105127 ENST00000269701
ENSG00000105131 ENST00000221730
ENSG00000105135 ENST00000263383
ENSG00000105137 ENST00000342784
ENSG00000105141 ENST00000427043
ENSG00000105143 ENST00000221742
ENSG00000105146 ENST00000302804
ENSG00000105171 ENST00000585603
ENSG00000105173 ENST00000262643
ENSG00000105176 ENST00000392271
ENSG00000105185 ENST00000590247
ENSG00000105186 ENST00000306065
ENSG00000105193 ENST00000251453
ENSG00000105197 ENST00000544017
ENSG00000105198 ENST00000221797
ENSG00000105202 ENST00000221801
ENSG00000105204 ENST00000593685
ENSG00000105205 ENST00000221804
ENSG00000105219 ENST00000430325
ENSG00000105220 ENST00000415930
ENSG00000105221 ENST00000392038
ENSG00000105223 ENST00000409587
ENSG00000105227 ENST00000324001
ENSG00000105229 ENST00000262971
ENSG00000105245 ENST00000252891
ENSG00000105246 ENST00000221847
ENSG00000105248 ENST00000262962
ENSG00000105251 ENST00000543264
ENSG00000105254 ENST00000221855
ENSG00000105255 ENST00000221856
ENSG00000105258 ENST00000221859
ENSG00000105261 ENST00000585332
ENSG00000105270 ENST00000360535
ENSG00000105278 ENST00000262961
ENSG00000105281 ENST00000542575
ENSG00000105287 ENST00000433867
ENSG00000105289 ENST00000589378
ENSG00000105290 ENST00000221891
ENSG00000105298 ENST00000429344
ENSG00000105321 ENST00000221922
ENSG00000105323 ENST00000392006
ENSG00000105325 ENST00000395095
ENSG00000105327 ENST00000449228
ENSG00000105329 ENST00000221930
ENSG00000105339 ENST00000262585
ENSG00000105341 ENST00000417807
ENSG00000105352 ENST00000221954
ENSG00000105355 ENST00000221957
ENSG00000105357 ENST00000601313
ENSG00000105364 ENST00000253099
ENSG00000105366 ENST00000321424
ENSG00000105369 ENST00000221972
ENSG00000105370 ENST00000221973
ENSG00000105371 ENST00000340992
ENSG00000105372 ENST00000598742
ENSG00000105373 ENST00000246802
ENSG00000105374 ENST00000221978
ENSG00000105376 ENST00000221980
ENSG00000105379 ENST00000354232
ENSG00000105383 ENST00000262262
ENSG00000105388 ENST00000221992
ENSG00000105392 ENST00000221996
ENSG00000105393 ENST00000359435
ENSG00000105397 ENST00000525621
ENSG00000105398 ENST00000222002
ENSG00000105401 ENST00000222005
ENSG00000105402 ENST00000263354
ENSG00000105404 ENST00000222008
ENSG00000105409 ENST00000545399
ENSG00000105419 ENST00000561293
ENSG00000105426 ENST00000587303
ENSG00000105427 ENST00000222032
ENSG00000105428 ENST00000222033
ENSG00000105429 ENST00000251268
ENSG00000105438 ENST00000330720
ENSG00000105443 ENST00000452733
ENSG00000105447 ENST00000253237
ENSG00000105464 ENST00000263269
ENSG00000105467 ENST00000344846
ENSG00000105472 ENST00000250340
ENSG00000105479 ENST00000315396
ENSG00000105483 ENST00000391898
ENSG00000105486 ENST00000263274
ENSG00000105492 ENST00000425629
ENSG00000105497 ENST00000262259
ENSG00000105499 ENST00000599111
ENSG00000105501 ENST00000534261
ENSG00000105507 ENST00000293255
ENSG00000105509 ENST00000222115
ENSG00000105514 ENST00000222120
ENSG00000105516 ENST00000222122
ENSG00000105518 ENST00000354882
ENSG00000105519 ENST00000618299
ENSG00000105520 ENST00000591608
ENSG00000105523 ENST00000263266
ENSG00000105538 ENST00000222145
ENSG00000105549 ENST00000342640
ENSG00000105550 ENST00000593756
ENSG00000105552 ENST00000316273
ENSG00000105556 ENST00000264819
ENSG00000105559 ENST00000263265
ENSG00000105568 ENST00000322088
ENSG00000105576 ENST00000425528
ENSG00000105583 ENST00000596731
ENSG00000105607 ENST00000222214
ENSG00000105609 ENST00000449561
ENSG00000105610 ENST00000264834
ENSG00000105612 ENST00000222219
ENSG00000105613 ENST00000251472
ENSG00000105617 ENST00000222224
ENSG00000105618 ENST00000321030
ENSG00000105619 ENST00000391759
ENSG00000105639 ENST00000458235
ENSG00000105640 ENST00000222247
ENSG00000105641 ENST00000222248
ENSG00000105642 ENST00000222249
ENSG00000105643 ENST00000222250
ENSG00000105647 ENST00000222254
ENSG00000105649 ENST00000222256
ENSG00000105650 ENST00000355502
ENSG00000105655 ENST00000338128
ENSG00000105656 ENST00000262809
ENSG00000105662 ENST00000338797
ENSG00000105664 ENST00000222271
ENSG00000105668 ENST00000616789
ENSG00000105669 ENST00000262812
ENSG00000105671 ENST00000247003
ENSG00000105672 ENST00000402764
ENSG00000105675 ENST00000262623
ENSG00000105676 ENST00000535612
ENSG00000105677 ENST00000222284
ENSG00000105679 ENST00000222286
ENSG00000105695 ENST00000392213
ENSG00000105696 ENST00000600490
ENSG00000105697 ENST00000598398
ENSG00000105698 ENST00000222305
ENSG00000105699 ENST00000621372
ENSG00000105700 ENST00000602094
ENSG00000105701 ENST00000608443
ENSG00000105705 ENST00000247001
ENSG00000105707 ENST00000262626
ENSG00000105708 ENST00000344099
ENSG00000105711 ENST00000415950
ENSG00000105717 ENST00000251203
ENSG00000105722 ENST00000222329
ENSG00000105723 ENST00000222330
ENSG00000105726 ENST00000357324
ENSG00000105732 ENST00000600245
ENSG00000105737 ENST00000301218
ENSG00000105738 ENST00000222345
ENSG00000105750 ENST00000328178
ENSG00000105755 ENST00000292147
ENSG00000105767 ENST00000222374
ENSG00000105771 ENST00000270066
ENSG00000105778 ENST00000318709
ENSG00000105784 ENST00000338056
ENSG00000105792 ENST00000389297
ENSG00000105793 ENST00000222511
ENSG00000105810 ENST00000265734
ENSG00000105819 ENST00000249269
ENSG00000105821 ENST00000379263
ENSG00000105825 ENST00000222543
ENSG00000105829 ENST00000222547
ENSG00000105835 ENST00000222553
ENSG00000105849 ENST00000222567
ENSG00000105851 ENST00000359195
ENSG00000105852 ENST00000265627
ENSG00000105854 ENST00000222572
ENSG00000105855 ENST00000222573
ENSG00000105856 ENST00000222574
ENSG00000105865 ENST00000265720
ENSG00000105866 ENST00000222584
ENSG00000105875 ENST00000354475
ENSG00000105877 ENST00000409508
ENSG00000105879 ENST00000440859
ENSG00000105880 ENST00000222598
ENSG00000105887 ENST00000393085
ENSG00000105889 ENST00000404369
ENSG00000105894 ENST00000348225
ENSG00000105926 ENST00000222644
ENSG00000105928 ENST00000342947
ENSG00000105929 ENST00000310018
ENSG00000105939 ENST00000242351
ENSG00000105948 ENST00000464848
ENSG00000105953 ENST00000222673
ENSG00000105954 ENST00000222674
ENSG00000105963 ENST00000539900
ENSG00000105967 ENST00000265440
ENSG00000105968 ENST00000308153
ENSG00000105971 ENST00000222693
ENSG00000105974 ENST00000341049
ENSG00000105976 ENST00000318493
ENSG00000105982 ENST00000405335
ENSG00000105983 ENST00000353442
ENSG00000105989 ENST00000265441
ENSG00000105991 ENST00000343060
ENSG00000105993 ENST00000262177
ENSG00000105996 ENST00000222718
ENSG00000105997 ENST00000612286
ENSG00000106003 ENST00000222725
ENSG00000106004 ENST00000222726
ENSG00000106006 ENST00000222728
ENSG00000106009 ENST00000340611
ENSG00000106012 ENST00000476665
ENSG00000106013 ENST00000265224
ENSG00000106018 ENST00000262178
ENSG00000106025 ENST00000222747
ENSG00000106028 ENST00000481508
ENSG00000106031 ENST00000222753
ENSG00000106034 ENST00000310396
ENSG00000106038 ENST00000496902
ENSG00000106049 ENST00000265395
ENSG00000106052 ENST00000396319
ENSG00000106066 ENST00000409850
ENSG00000106069 ENST00000222792
ENSG00000106070 ENST00000398812
ENSG00000106077 ENST00000222800
ENSG00000106078 ENST00000395542
ENSG00000106080 ENST00000222803
ENSG00000106086 ENST00000449726
ENSG00000106089 ENST00000222812
ENSG00000106100 ENST00000222823
ENSG00000106105 ENST00000389266
ENSG00000106113 ENST00000348438
ENSG00000106123 ENST00000619012
ENSG00000106125 ENST00000265299
ENSG00000106128 ENST00000326139
ENSG00000106144 ENST00000310447
ENSG00000106153 ENST00000395422
ENSG00000106178 ENST00000416943
ENSG00000106211 ENST00000248553
ENSG00000106236 ENST00000265634
ENSG00000106244 ENST00000350498
ENSG00000106245 ENST00000403633
ENSG00000106246 ENST00000292478
ENSG00000106258 ENST00000222982
ENSG00000106261 ENST00000324306
ENSG00000106263 ENST00000360876
ENSG00000106266 ENST00000222990
ENSG00000106268 ENST00000397048
ENSG00000106278 ENST00000393386
ENSG00000106290 ENST00000437822
ENSG00000106299 ENST00000223023
ENSG00000106302 ENST00000223026
ENSG00000106304 ENST00000340011
ENSG00000106305 ENST00000223029
ENSG00000106327 ENST00000462107
ENSG00000106328 ENST00000265825
ENSG00000106330 ENST00000393950
ENSG00000106331 ENST00000341640
ENSG00000106333 ENST00000223061
ENSG00000106336 ENST00000427939
ENSG00000106341 ENST00000342032
ENSG00000106344 ENST00000223073
ENSG00000106346 ENST00000306177
ENSG00000106348 ENST00000338791
ENSG00000106351 ENST00000300176
ENSG00000106355 ENST00000450169
ENSG00000106366 ENST00000223095
ENSG00000106367 ENST00000337619
ENSG00000106384 ENST00000223114
ENSG00000106397 ENST00000223127
ENSG00000106399 ENST00000223129
ENSG00000106400 ENST00000305105
ENSG00000106404 ENST00000401528
ENSG00000106410 ENST00000467773
ENSG00000106415 ENST00000223145
ENSG00000106436 ENST00000223167
ENSG00000106443 ENST00000403050
ENSG00000106459 ENST00000353868
ENSG00000106460 ENST00000396667
ENSG00000106462 ENST00000320356
ENSG00000106477 ENST00000223208
ENSG00000106479 ENST00000223210
ENSG00000106483 ENST00000436072
ENSG00000106484 ENST00000223215
ENSG00000106511 ENST00000262041
ENSG00000106524 ENST00000306999
ENSG00000106536 ENST00000403058
ENSG00000106537 ENST00000262067
ENSG00000106538 ENST00000466675
ENSG00000106541 ENST00000419304
ENSG00000106546 ENST00000242057
ENSG00000106554 ENST00000262570
ENSG00000106560 ENST00000223293
ENSG00000106565 ENST00000447204
ENSG00000106571 ENST00000395925
ENSG00000106588 ENST00000223321
ENSG00000106591 ENST00000223324
ENSG00000106603 ENST00000395879
ENSG00000106605 ENST00000402924
ENSG00000106608 ENST00000453200
ENSG00000106609 ENST00000341567
ENSG00000106615 ENST00000262187
ENSG00000106617 ENST00000287878
ENSG00000106624 ENST00000223357
ENSG00000106628 ENST00000610533
ENSG00000106631 ENST00000223364
ENSG00000106633 ENST00000345378
ENSG00000106635 ENST00000455335
ENSG00000106636 ENST00000223369
ENSG00000106638 ENST00000305632
ENSG00000106648 ENST00000616416
ENSG00000106665 ENST00000223398
ENSG00000106682 ENST00000265753
ENSG00000106683 ENST00000336180
ENSG00000106686 ENST00000475086
ENSG00000106688 ENST00000262352
ENSG00000106689 ENST00000373615
ENSG00000106692 ENST00000223528
ENSG00000106701 ENST00000481272
ENSG00000106723 ENST00000375859
ENSG00000106733 ENST00000361092
ENSG00000106771 ENST00000374586
ENSG00000106772 ENST00000376718
ENSG00000106780 ENST00000373930
ENSG00000106785 ENST00000341469
ENSG00000106789 ENST00000343933
ENSG00000106799 ENST00000552516
ENSG00000106803 ENST00000223641
ENSG00000106804 ENST00000223642
ENSG00000106809 ENST00000262551
ENSG00000106819 ENST00000375544
ENSG00000106823 ENST00000344604
ENSG00000106829 ENST00000376537
ENSG00000106852 ENST00000394319
ENSG00000106853 ENST00000407693
ENSG00000106868 ENST00000374264
ENSG00000106927 ENST00000265132
ENSG00000106948 ENST00000307564
ENSG00000106952 ENST00000223795
ENSG00000106976 ENST00000372923
ENSG00000106991 ENST00000373203
ENSG00000106992 ENST00000373176
ENSG00000106993 ENST00000381854
ENSG00000107021 ENST00000372648
ENSG00000107036 ENST00000414202
ENSG00000107077 ENST00000381309
ENSG00000107099 ENST00000432829
ENSG00000107104 ENST00000619269
ENSG00000107105 ENST00000397312
ENSG00000107130 ENST00000372398
ENSG00000107140 ENST00000620767
ENSG00000107147 ENST00000371757
ENSG00000107159 ENST00000378357
ENSG00000107164 ENST00000319725
ENSG00000107165 ENST00000388918
ENSG00000107175 ENST00000353704
ENSG00000107185 ENST00000378078
ENSG00000107186 ENST00000541718
ENSG00000107187 ENST00000371746
ENSG00000107201 ENST00000379883
ENSG00000107223 ENST00000224073
ENSG00000107242 ENST00000265382
ENSG00000107249 ENST00000381971
ENSG00000107262 ENST00000472232
ENSG00000107263 ENST00000372190
ENSG00000107281 ENST00000371601
ENSG00000107282 ENST00000265381
ENSG00000107290 ENST00000224140
ENSG00000107295 ENST00000380607
ENSG00000107317 ENST00000371625
ENSG00000107331 ENST00000341511
ENSG00000107338 ENST00000377707
ENSG00000107341 ENST00000263228
ENSG00000107362 ENST00000377041
ENSG00000107371 ENST00000327304
ENSG00000107372 ENST00000237937
ENSG00000107404 ENST00000378891
ENSG00000107438 ENST00000329399
ENSG00000107447 ENST00000371174
ENSG00000107485 ENST00000379328
ENSG00000107518 ENST00000355044
ENSG00000107537 ENST00000263038
ENSG00000107551 ENST00000340258
ENSG00000107554 ENST00000324109
ENSG00000107560 ENST00000355624
ENSG00000107562 ENST00000395794
ENSG00000107566 ENST00000421367
ENSG00000107581 ENST00000369144
